RegionID	SizeRank	RegionName	RegionType	StateName	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
102001	0	United States	country		115683.88416079653	124106.89249852703	132736.36811422565	142887.07541398233	156306.40733600882	174564.62562671356	190022.96131814233	191789.01617215746	179945.4842419255	163355.81031655523	157763.45562408766	149526.31866219343	148448.21501008057	158485.45985277652	170058.01193671237	180010.46362124765	192036.39071864806	204406.61756216126	218517.23227174222	230340.85387755788	284027.89437145175	328630.62409529585	333509.87522856536
394913	1	New York, NY	msa	NY	187211.52225206714	210513.7731552473	237485.66504831807	272714.06012178125	308315.4137633044	352458.71440154454	386894.5316145011	382628.2704774938	364747.94856831845	335307.2510194686	325902.598144678	316054.4171715791	309616.9044333101	318398.21751968184	336464.59496351477	349689.87722297705	367591.6468864183	389543.94603792747	424611.7690549449	445786.6966776208	513022.87681311584	559824.0638048383	565669.0861204866
753899	2	Los Angeles, CA	msa	CA	235702.2438519878	261155.77782386114	295954.41136861715	351507.80173668073	438687.81343738246	530102.2997266819	595919.6997303754	584822.6289541906	489649.80554023973	411765.78844819166	410748.6520618059	387952.6403487436	379082.6948734235	438888.00815066084	494273.4560247426	521239.5172508632	538760.6769145931	579642.5565213274	640730.05176239	659043.4977581801	793299.8233810264	901890.3511041357	881948.3520433902
394463	3	Chicago, IL	msa	IL	144210.74204794943	156602.5665925188	169130.80008296974	182056.69876319778	196329.46940923642	214048.6848622826	229125.4332132792	232235.2054757441	219228.96538276915	193132.40187901634	179649.70260471525	163560.15449600545	153212.16482776057	161432.84725140006	177975.84605178327	186705.07560223	197521.5198478553	208625.39548218725	219173.7826250651	225402.60977920817	260444.51635832383	285494.7703169953	287741.0335920466
394514	4	Dallas, TX	msa	TX	129926.86626635079	132144.98578526123	135366.4176715296	139233.95807984172	146878.95630281713	151786.79865535317	154970.9512220956	157844.73319868842	154619.77431543695	150605.36344662312	150012.05912898647	144217.22706959056	145986.90815405178	156642.52706937832	170288.38665381892	187363.36053215255	209405.16070601597	230214.33247844645	248440.91361202684	257600.71961482486	310250.81698463706	370150.5535705722	369431.03059083223
394692	5	Houston, TX	msa	TX	118371.13835496323	119961.73079098978	122879.1741071184	126992.51671590588	133810.75608188004	140533.1890590668	143203.66794748235	148069.33391385517	147502.41959239694	143756.33143954733	143609.64504073115	137662.02050195285	136641.3520316858	144723.71902839132	161457.96420182718	179518.80562800088	191456.31893348205	199044.60457857	207697.8032634464	216489.24739164757	255599.2552602169	298746.394786309	301907.49403068965
395209	6	Washington, DC	msa	VA	181852.03719055202	201258.4519147809	228719.4797741637	262818.2959780165	310239.60356627457	381347.7088447684	426988.9802812407	412936.62518315227	364625.1606640879	318543.4739974402	315838.0340552262	310605.46290488396	316542.814185582	342322.0441035898	363082.84208828287	371652.21478862036	380992.157549752	394085.850619081	409109.9226327154	423269.2631901847	498283.53973834316	536441.8823246161	533437.5850823267
394974	7	Philadelphia, PA	msa	PA	115665.15633870492	122779.261378812	133568.79955166907	150247.79698752557	170867.60792946155	196618.85458540358	218125.93031379418	222718.35034614278	217495.08678774125	205957.84605826667	202320.25779357998	191177.5389494139	184512.00113250432	187201.87138205583	193206.07975196675	198753.85419121198	207101.4908944311	216775.35328842842	227112.35379841193	236749.81884110652	287074.06597190147	317249.3576268948	325776.4763475841
394856	8	Miami, FL	msa	FL	109263.34586577407	119951.07695335902	136678.60560569805	156975.6193747582	183598.63205287556	229110.2316949997	276871.2787655781	274315.38592741103	223157.82821854483	168918.46384053328	151148.95341320112	139390.02181363068	140335.0669372559	162305.1989751641	189023.71706904657	210802.44314035543	231723.32531824042	251425.36264898567	274876.7226020925	288331.10318239796	348584.94786647276	429118.2865598787	450167.5545008818
394347	9	Atlanta, GA	msa	GA	144097.8807191144	154497.82448843375	161884.1991043242	166307.88346709314	170341.58735620367	176158.95739245627	182761.33202040129	186524.38196927126	177519.10613211326	155251.5353474736	143473.05149087976	126696.28800267028	122976.89665444358	136995.47007230448	157116.3958395324	169890.25407829642	184099.89866430676	199194.8633829501	218075.05202883133	233773.74311156958	296231.6491969262	360136.1157494157	363764.0438117769
394404	10	Boston, MA	msa	MA	218229.1831884625	253945.98296971395	287224.8898379647	322419.9156958854	350423.4662747625	377144.1296375015	374728.1214916821	356331.4843148123	336248.09662215755	316145.8737834556	318430.19002214173	309054.9734304039	306303.44641907065	328272.2693507317	353309.24552740814	375420.10309424327	403499.50669837644	433994.8417604388	463958.3742462537	478124.53596604586	567863.7721318763	619954.4454258316	620075.7706915912
394976	11	Phoenix, AZ	msa	AZ	144632.66520334533	152773.9177460156	160098.40218881765	168408.14274149676	182449.83728907353	239013.0883614611	296914.2016411211	281821.6509663471	230621.07534827045	170695.16837510408	153036.26243265407	135138.47288477072	146678.05553124633	180794.91297327905	202000.2258039652	213519.30102874304	233501.1982161617	249124.71091791676	269144.4393388945	286940.26856556354	380277.3882228039	452392.5572949283	436748.76811432355
395057	12	San Francisco, CA	msa	CA	304221.13383904874	361718.89837532135	386633.6813815094	421823.3975621567	483792.58610376186	578244.4157800643	619235.1209072889	600826.8542798449	536533.5804862345	463261.23179328063	461140.22430280206	431166.66773891944	431879.25014970655	522174.1537162836	599088.6947055793	682210.4801058364	752595.7152004698	800290.3638887123	888549.6083974469	901688.1281007453	1067214.8803521965	1186521.165527343	1115354.9980474813
395025	13	Riverside, CA	msa	CA	142222.6550241715	157598.27585169315	177001.97458486457	208121.63832443114	261738.74873418055	334323.81247821567	382502.97013543826	374780.4263466578	286138.20233257767	202452.4429282148	195649.9255808638	190285.26844262113	188567.84236442228	224794.6804799568	270031.35389648896	291759.9408971841	309692.7092699415	333759.3945387971	368551.4686685416	382289.38364345534	475001.63590044895	555620.0308980029	549396.638644083
394532	14	Detroit, MI	msa	MI	118629.76575463465	127644.64418812162	133605.39783140027	137996.7359289869	142741.21550709443	146437.5396095053	147081.61656921197	138522.9822407281	120327.37269113724	93429.03827080825	82958.75988372619	76479.63086006073	78295.29291446491	93865.982849201	112099.86415176267	122605.91434278188	133845.30459092557	146418.21746110762	159899.51982543763	171324.50551058934	206569.99988905093	226893.76183131992	229715.71415514426
