_id	Population_Rank	Region	RegionType	State	0	HouseCost-01	HouseCost-02	HouseCost-03	HouseCost-04	HouseCost-05	HouseCost-06	HouseCost-07	HouseCost-08	HouseCost-09	HouseCost-10	HouseCost-11	HouseCost-12	HouseCost-13	HouseCost-14	HouseCost-15	HouseCost-16	HouseCost-17	HouseCost-18	HouseCost-19	HouseCost-20	HouseCost-21	HouseCost-22
394562	582	Elizabeth City, NC	msa	NC	0.0	0	0	0	0	0	0	0	183251	177164	166770	159441	160069	147497	139836	139212	139874	139835	148818	149560	183577	212625	222492
394967	583	Payson, AZ	msa	AZ	79114.45804369876	83846	88299	92809	103427	128373	170295	194877	185760	158109	140950	129211	133580	141860	153681	166150	174572	182679	197198	215972	287541	343925	341650
394344	584	Athens, TN	msa	TN	0.0	0	0	0	0	0	0	0	0	0	0	80182	82036	84699	89718	96621	103523	108687	115684	132846	165380	192117	200993
394571	585	Enterprise, AL	msa	AL	0.0	0	0	0	0	0	0	0	0	0	0	0	121169	122106	119303	120650	122803	123571	127606	130865	152996	168510	174817
394339	586	Ashland, OH	msa	OH	0.0	0	0	0	0	0	0	0	0	107096	104630	100791	100601	103207	103889	110264	118341	124340	131616	138437	175877	194583	200337
395073	587	Scottsboro, AL	msa	AL	0.0	0	0	0	0	0	0	0	0	66598	63378	59618	60138	68116	73847	78971	86793	91403	95403	96449	124245	144325	153053
394861	588	Milledgeville, GA	msa	GA	0.0	0	0	0	0	0	0	0	84658	82001	76116	69554	70027	74289	76764	81351	87213	86879	97432	104412	136090	154559	158827
394742	589	Kerrville, TX	msa	TX	0.0	0	0	0	0	146065	150019	158861	162590	160332	156861	154150	155282	157810	166588	176597	192048	208848	228449	242756	303088	353614	354722
394363	590	Bartlesville, OK	msa	OK	58729.55872481535	61596	63569	66776	69779	73398	77861	81253	83807	82814	80789	79521	81229	84112	86381	90244	93105	93694	97572	101869	125950	144393	150973
394985	591	Platteville, WI	msa	WI	0.0	0	0	0	0	0	0	0	0	91653	88326	86571	87535	91883	101163	104265	107930	113388	119930	129605	152623	166183	171122
394503	592	Corsicana, TX	msa	TX	0.0	0	0	0	0	0	0	0	0	79395	77893	76152	75020	75533	80318	83588	90321	99134	108370	115446	148864	174775	183725
394652	593	Greenville, OH	msa	OH	98354.78401718578	103142	106231	108931	112516	114545	115910	118187	118013	114359	110521	105128	107348	122026	131436	137198	126800	112840	118040	129037	158023	175649	181672
395029	594	Rochelle, IL	msa	IL	0.0	0	0	0	0	0	0	0	0	125155	118638	114932	113321	111783	114915	106775	100025	111083	124696	129678	150417	169811	173539
394538	596	Douglas, GA	msa	GA	59696.96807343387	63203	65890	67823	70576	74854	78248	80676	79683	74379	67677	63003	62525	65313	66790	68231	70122	71347	76078	78987	99078	117044	120324
394933	597	Oil City, PA	msa	PA	40687.38662772169	43529	46335	49593	54473	60491	63838	65078	64662	62888	61849	61252	62753	64632	66003	69567	71526	71698	72277	73848	96000	108200	111352
394838	598	Mason City, IA	msa	IA	0.0	0	0	0	0	0	0	0	0	71463	71175	70614	72894	78777	83665	87942	93799	99724	108264	117810	142543	167303	173786
394717	599	Jacksonville, TX	msa	TX	0.0	0	0	0	0	0	0	0	0	93486	92121	90475	90635	90878	93647	100058	106244	111722	114747	124134	168995	193384	195892
394625	600	Galesburg, IL	msa	IL	0.0	0	0	0	0	0	0	0	0	52589	50663	50178	51951	56455	57822	58344	59302	60259	61628	66977	84152	86242	86659
394954	601	Pahrump, NV	msa	NV	0.0	0	0	0	0	0	0	0	0	121309	103814	91080	90434	104782	124020	132794	142829	152891	177198	207315	270321	327796	320530
394963	602	Paris, TX	msa	TX	0.0	0	0	0	0	0	0	0	0	84347	83322	82215	82248	82571	88137	93222	97270	105493	111192	111014	142739	168243	172971
395234	603	Winona, MN	msa	MN	0.0	0	0	0	0	0	0	0	0	0	0	135107	137148	141669	144826	150068	157595	165317	170091	177110	207509	230292	234828
753905	604	Newport, OR	msa	OR	127588.75441594292	132573	135431	136288	149144	173557	213072	242886	243922	222645	207097	194663	194452	198998	206790	220317	239810	257530	278874	298281	400754	471857	474225
