_id	costavg_2001	costavg_2002	costavg_2003	costavg_2004	costavg_2005	costavg_2006	costavg_2007	costavg_2008	costavg_2009	costavg_2010	costavg_2011	costavg_2012	costavg_2013	costavg_2014	costavg_2015	costavg_2016	costavg_2017	costavg_2018	costavg_2019	costavg_2020	costavg_2021	costavg_2022	populationrank	hlocation	us_state
394449	0	0	0	0	0	0	0	0	116451	115950	114359	117424	131534	141652	147127	139360	140920	149707	160050	198016	215284	221910	681	Celina, OH	OH
395230	0	0	94143	96139	96302	100675	100541	99648	96658	93446	90201	90745	96684	101336	111455	121165	128795	135346	143263	182674	203690	206808	682	Wilmington, OH	OH
394424	0	0	0	0	0	0	0	0	0	0	72835	72656	71434	70648	72001	73929	74422	78646	84700	110167	122923	127432	683	Bucyrus, OH	OH
394319	0	0	0	0	0	0	0	0	0	66005	64811	65857	69367	67598	67707	71814	75959	80906	85885	115849	122810	126425	684	Alma, MI	MI
394558	0	0	0	0	0	0	0	0	103289	99257	97466	98361	99295	108517	120165	131664	136948	141613	150555	174062	187571	187982	685	El Campo, TX	TX
394891	84811	86971	90104	94742	103303	116444	125645	125484	123714	120356	118776	117019	114324	117830	120533	123355	126882	130883	135421	163598	189047	190014	686	Mountain Home, AR	AR
394624	0	0	0	0	0	0	0	0	109393	107365	105241	106263	110808	119816	128950	141176	153573	169458	184105	231483	275190	282099	687	Gainesville, TX	TX
395158	94242	97744	100977	105854	111155	115976	119996	119403	113182	105640	99777	97943	99454	101956	103190	106578	107563	113629	119714	139578	155466	161199	688	Tifton, GA	GA
394397	31185	32572	34078	35386	37409	39576	40441	42637	41153	40469	39944	41793	45807	44869	41968	46637	52923	67618	62225	105316	92932	90090	689	Blytheville, AR	AR
394845	66059	67990	69218	69834	70958	73873	76879	77877	75504	73400	72064	72744	74283	76817	80339	87740	96746	105202	120488	158459	192049	196629	690	McMinnville, TN	TN
394341	0	0	189980	202145	237898	281292	302048	295596	269125	250019	235436	233356	236016	243671	253022	271683	290738	310516	327688	422151	499699	500210	691	Astoria, OR	OR
394409	0	0	0	0	0	0	0	0	50296	49233	48281	49594	52337	53587	56053	57319	57189	58032	58262	69384	71584	73402	692	Bradford, PA	PA
394574	0	0	0	0	0	0	0	0	0	0	0	135780	138831	143968	145440	152207	158932	165812	175845	230744	246500	252189	693	Espa-¦ola, NM	NM
394844	0	0	0	0	0	0	0	0	75891	74095	72122	71332	70334	68218	69819	69938	72904	76007	79952	87408	87971	84688	694	McComb, MS	MS
753866	0	0	0	0	0	0	0	0	86874	84914	84071	85450	82228	80174	76112	73385	75539	80036	77388	92780	104433	107338	695	Big Stone Gap, VA	VA
394833	0	0	0	0	0	0	0	0	85250	84386	82892	82779	83614	82181	82442	85676	90171	99097	110311	130223	143180	144678	696	Marshalltown, IA	IA
394384	0	0	0	0	0	0	86434	83433	77436	72921	71037	71633	77892	84128	87061	94278	101768	107052	113315	144130	162646	167246	697	Big Rapids, MI	MI
